Address,Address Missing,Email Address,Email Missing,License Validity,Name,Negative Status,Official Representative,Representative Missing,Status,Tel No/s,Telephone Missing,Website,Website Missing
2086 CAROLINA ST MALATE MANILA MANILA,False,,True,4/22/1994 to 4/21/1996,888 INTERNATIONAL MANPOWER CORP Service Contractor,True,MS JENNIFER ENANO,False,Delisted,409687,False,,True
"2F 7219 SAN MATEO ST. BGY OLYMPIA MAKATI, MAKATI",False,99nnmsmadani@gmail.com,False,5/22/2015 to 5/21/2019,99 (NINETY NINE) MANPOWER SERVICES CORP. Private Employment Agency,False,YASMIN Z MADANI,False,Valid License,8967330 /728-8711/ 8955480,False,,True
"UNIT M7 VICTORIA DE MANILA P GIL TAFT AVENUE MALATE, MANILA",False,9k@9kmanpower.com/info@9kmanpower.com,False,1/4/2017 to 1/3/2021,9K INTERNATIONAL MANPOWER AND RECRUITMENT SERVICES CORP Private Employment Agency,False,MAILANE F KINDICA,False,Valid License,5165504 / 09208434399,False,www.9kmanpower.com,False
345-F J.TEODORO COR 10TH AVE GRACE PARK CALOOCAN CITY,False,,True,to 9/13/1987,A & A ENGINEERING Construction Contractor,True,MR ANTONIO M ALLAMEN,False,Cancelled,,True,,True
4/F UNITED LIFE BLDG PASAY ROAD MAKATI,False,,True,to 9/2/1987,A & A INTERNATIONAL RECRUITMENT & PLACEMENT Private Employment Agency,True,MR ROLANDO P MALIG,False,Delisted,870902 / 8162718,False,,True
"RM 303 3F SAN LUIS TERRACES 638 T M KALAW ST ERMITA, MANILA",False,info@anc-ph.com or anc@anc-ph.com,False,3/5/2017 to 3/4/2021,A & C INTERNATIONAL RESOURCES INC Private Employment Agency,False,PAUL Y. CHUA,False,Valid License,5214992 / 5168993,False,www.anc-ph.com,False
29 DATA ST BGY DON MANUEL QUEZON CITY,False,,True,8/25/1995 to 2/25/1996,"A & C UNIVERSAL ENTERPRISES, INC.  Private Employment Agency",True,MR ABELARDO P PANLAQUI,False,Delisted,7322154,False,,True
2F & 3F 590-592 QUIRINO AVE TAMBO PARAÃ‘AQUE,False,,True,9/25/2001 to 9/24/2003,A & E NEPOMUCENO PROMOTIONS Private Employment Agency,True,ANGELO R NEPOMUCENO,False,Denied Renewal,8532029 / 8532090,False,,True
RM.302 3RD FLR 1928 LEON GUINTO MALATE MANILA,False,,True,8/24/1995 to 8/24/1997,A & G HEALTH RECRUITMENT AGENCY CO.  Private Employment Agency,True,MR RENE F GAVIOLA,False,Delisted,507141,False,,True
"524 A.FLORES ST ERMITA, MANILA",False,,True,to 8/8/1984,A & L MANAGEMENT MANPOWER SERVICES  Private Employment Agency,True,MS FLORENTINA A LOZANO,False,Forever Banned,594462 / 502342,False,,True
U400&402 ELYSIUM BLDG 168 D TUAZON STA MESA HGTS QUEZON CITY,False,jobsoverseas3@yahoo.com,False,5/2/2014 to 5/2/2015,A & S MANPOWER RESOURCES INC Private Employment Agency,True,MA CONSUELO PLAN-STA CRUZ,False,Delisted,7432067/7432021,False,,True
"2/F (LEFT & RIGHT WING), BELEN BLDG, 1787 A. MABIN MALATE, MANILA",False,a.w.intl.manpower@gmail.com,False,7/20/2015 to 7/20/2019,A & W INTERNATIONAL MANPOWER SERVICES SPECIALIST Private Employment Agency,False,WILLIAM M CASTRO,False,Valid License,3100726 / 09276696472/ 0920879797,False,,True
458 BARRANCA DRIVE MANDALUYONG,False,,True,to,A CONSTEEL CONSTRUCTION COMPANY INC  Construction Contractor,True,MR RICARDO M ABAD,False,Inactive,797913,False,,True
SUITE 2028-2029 VV SOLIVEN BLDG EDSA SAN JUAN,False,,True,to 4/11/1988,A L DE CASTRO CONSTRUCTION  Construction Contractor,True,MR ARSENIO L DE CASTRO,False,Delisted,789960 / 789982,False,,True
"SPACE 25-26 MLA MIDTOWN ARCADE M.ADRIATICO ST ERMITA, MANILA",False,,True,7/7/1987 to 7/7/1989,A L INTERNATIONAL SERVICES INC  Private Employment Agency,True,MS AURORA O SANTOS,False,Forever Banned,587763 / 573911,False,,True
3751 BAUTISTA ST MAKATI,False,,True,to 2/14/1986,A L SARMIENTO CONSTRUCTION  Construction Contractor,True,MR AMALIO L SARMIENTO,False,Cancelled,8311902 / 8318277,False,,True
"NO.8 ALBA ST EAST TAPINAC OLONGAPO CITY, ZAMBALES",False,,True,10/12/1988 to 10/12/1994,A P BUENAVENTURA ENTERPRISES  Service Contractor,True,MR ARSENIO P BUENAVENTURA,False,Delisted,2223838,False,,True
"2ND FLOOR (RIGHT WING), 1170 ROXAS BLVD COR ARQUIZ ERMITA, MANILA",False,asysteminternational@yahoo.com,False,2/1/2016 to 1/31/2020,A SYSTEM INTERNATIONAL CORPORATION Private Employment Agency,False,ROSEMARIE P. CRISTOBAL,False,Valid License,254-1550/310-8081,False,,True
"6/F, METRO LIFESTYLE COMPLEX F TORRES ST. COR. JAC DAVAO CITY, DAVAO DEL SUR",False,akananmanpower.corp@yahoo.com/jamalkanan09@y.c,False,4/16/2016 to 4/15/2020,A. KANAN MANPOWER CORPORATION (FORMERLY BADILLA CORPORATION) Private Employment Agency,False,RUBY B UY,False,Valid License,(082) 300-8391/ 3105214/ 09199963187/ 09178849996,False,www.akananmanpower.com,False
"S-9,10,11,16,18,31A (GF) & S11(2F), MIDLAND PLAZA  ERMITA, MANILA",False,abutalent_management@yahoo.com.ph,False,3/3/2012 to 3/2/2016,"A.B.U. TALENT MANAGEMENT, INC. Private Employment Agency",True,GUILLERMO D CANLAS,False,Cancelled,524-6537/401-7173,False,,True
"DOOR 1 #1040 TERESA ST., BGY.VALENZUELA MAKATI",False,,True,3/2/2000 to 3/2/2002,A.D. LANTICAN INTERNATIONAL MANPOWER SERVICES Private Employment Agency,True,ANICIA D LANTICAN,False,Delisted,8901587,False,,True
"U306,3F,MAIN BLG.,RELIANCE I.T CTR.99 E. RODRIGUEZ UGONG, PASIG CITY",False,admrecruitment2004@gmail.com,False,6/3/2016 to 6/2/2020,A.D.M. INTERNATIONAL MANPOWER SERVICES COMPANY Private Employment Agency,False,ANALITA S. DEL MUNDO,False,Valid License,672-3896/ 6723897/ 7759067,False,www.adm-intlmanpower.com,False
"#2882 FINLANDIA COR NEWTON BRGY SAN ISIDRO, MAKATI",False,ar_manpower@yahoo.com,False,7/2/2001 to 6/29/2003,A.R. MANPOWER INTERNATIONAL COMPANY Private Employment Agency,True,PETRONILA SUCALDITO,False,Cancelled,8870695,False,,True
"UNIT 112 BALAGTAS VILLAS, BALAGTAS ST PASAY CITY",False,ashmanpower1@gmail.com,False,10/2/2015 to 10/1/2019,A.S.H. MANPOWER INTERNATIONAL SERVICES INC Private Employment Agency,False,RAMON B MACARAIG,False,Valid License,522-4470/ 09951805682,False,ashmanpower.wix.com/home,False
"RM 308 JOVAN COND, SAMAT COR. SHAW BLVD MANDALUYONG",False,,True,5/10/2004 to 5/9/2008,A.V.V. SPEED MARITIME MANAGEMENT CO. LTD. (FOR. AMMCO) Manning Agency,True,VICENTA B. VILLAVER,False,Cancelled,5332661,False,,True
RM.601-A CULMAT BLDG 127 E.RODRIGUEZ SR AVE QUEZON CITY,False,,True,to 12/17/1985,A/J MANPOWER SERVICES  Private Employment Agency,True,MS AMELIA G TSOU,False,Forever Banned,7214317,False,,True
9598 KAMAGONG ST MAKATI,False,,True,4/6/1990 to 4/4/1992,AA INTERNATIONAL BUSINESS VENTURE INC  Service Contractor,True,MR ATILLA ARKIN,False,Delisted,886870 / 8163199,False,,True
"3F TESORO REALTY BLDG 1339 SAL SIPUEDES ST. ERMITA, MANILA",False,,True,6/17/2000 to 6/17/2000,"AAA INTERNATIONAL PLACEMENT, INC. Service Contractor",True,ANTONIO SC AREVALO,False,Denied Renewal,5210069 / 5211247/ 5264884,False,,True
"RMS. 203 & 204, CITYLAND DELA ROSE COND, 7648 DELA PIO DEL PILAR, MAKATI",False,info@aaremaphil.com,False,6/21/2016 to 6/20/2020,AAREMA SHIPPING & TRADING COMPANY INC Manning Agency,False,MR REGULUS M ANCHETA,False,Valid License,8182194 / 8184079,False,,True
"ROOMS 201 & 202, JALANDONI BLDG, 1444 R. SALAS COR ERMITA, MANILA",False,xjv_1996@yahoo.com,False,3/15/2016 to 3/14/2020,AAV TALENT TRAINING & MANAGEMENT INC. (FOR AAV TALENT TRNG & MGT ENT) Private Employment Agency,False,ALEXANDER VALENZUELA,False,Valid License,0946-9317687 (MOBILE),False,,True
"MABUHAY BLDG NO 6 GOMEZ EXTENSION BRGY 3 LUCENA CITY, QUEZON",False,,True,6/5/2002 to 6/4/2004,AB ADELANTE MANPOWER RESOURCES INC Private Employment Agency,True,MARY JANE SEMILLA,False,Cancelled,,True,,True
"RM 501 AP BLDG 1563 F AGONCIL LO COR P GIL ERMITA, MANILA",False,abintl52@gmail.com/ abintl@abmanpower.com,False,4/5/2016 to 4/4/2020,AB INTERNATIONAL PLACEMENT INC (FORMERLY AB INTERNATIONAL PLACEMENT) Service Contractor,False,YOLANDA R SALVADOR,False,Valid License,7758861/5236268/ 09183286179/ 09255252542,False,www.abmanpower.com,False
"3F ENRIQUETA BLDG, 1675-77 A. MABINI MALATE, MANILA",False,abacast@pldt.com,False,8/21/2016 to 8/20/2020,ABACAST SHIPPING & MANAGEMENT COMPANY INC Manning Agency,False,JOSEPH R CASTANEDA,False,Valid License,5240026 / 5240029,False,,True
5F VALDERRAMA BLDG 107 ESTEBAN ST MAKATI,False,,True,5/16/1986 to 5/16/1988,ABACUS INTEGRATED SERVICES INC  Service Contractor,True,MS CONSUELO M VALDERRAMA,False,Delisted,858272 / 858248,False,,True
U-1102 11/F GOLDLOOP TOWERS ORTIGAS CTR. PASIG CITY,False,abbapersonnel@gmail.com/recruitment@abbaph.com,False,6/6/2016 to 6/5/2024,ABBA PERSONNEL SERVICES INC Private Employment Agency,False,NESTOR FLORES,False,Valid License,6335175/ 6371324,False,www.abba.ph,False
"UNIT 1801, OMM-CITRA BLDG, 39 SAN MIGUEL AVENUE, O PASIG CITY",False,info@abcgemsph.com,False,3/15/2015 to 3/14/2019,ABC GLOBAL EMPLOYMENT & MANPOWER SERVICES INC (FORMERLY SMITH BELL MANPOWER Private Employment Agency,False,SARA SD DUMANIL,False,Valid License,6367092/ 5719448/ 5718178,False,www.abcglobalemployment.com,False
528-534 GEN.MALVAR ERMITA MANILA MANILA,False,,True,6/16/1994 to 6/16/1996,ABC HUMAN RESOURCES DEVELOPMENT INC (FOR ABC RECRUITMENT AGENCY Service Contractor,True,FAHAD M ALKHUZEEM,False,Delisted,5222307 / 5266385,False,,True
"3F 1951 A LINAO ST MALATE, MANILA",False,,True,6/19/2012 to 6/18/2016,ABC MANILA INTERNATIONAL INCORPORATED Private Employment Agency,True,SARCAWI HASANA P NASSER,False,Cancelled,493-8396,False,,True
"U2A&2B,PREMIERE CENTRE,1425 NEWTON ST SAN ISIDRO, MAKATI",False,abcmanpower@mydestiny.net,False,9/8/2015 to 9/7/2019,ABC MANPOWER AGENCY INC (FORMERLY ABC MANPOWER AGENCY) Private Employment Agency,False,EMILY A. CARANDANG,False,Valid License,8448306/8442713/8449306,False,,True
"57 12TH AVENUE, CUBAO QUEZON CITY",False,abcainternational@yahoo.com,False,9/7/2014 to 9/6/2018,ABCA INTERNATIONAL CORPORATION Private Employment Agency,False,EMILIA G. COSMO-AN,False,Valid License,912-1138/0908-7095391/ 0906-4531238 (mobile),False,,True
"GROUND FLOOR & SECOND FLOOR, 2310 MARCONI CORNER M SAN ISIDRO, MAKATI",False,abdoverseasmanpower@gmail.com/candidates.abd@gmail,False,5/1/2016 to 4/30/2020,ABD OVERSEAS MANPOWER CORP (FORMERLY UNITED PLACEMENT INT`L) Private Employment Agency,False,MS ALICIA B DEVULGADO,False,Valid License,8434757/8876041/09189540700/09176204709,False,www.abdrecruitment.com,False
METRO MANILA,False,,True,to 9/16/1982,ABDEN CONSTRUCTION  Construction Contractor,True,,True,Cancelled,,True,,True
"2/F RAMONA BLDG 1805 SAN MARCELINO MALATE, MANILA",False,,True,to 8/28/1986,ABINEXTRA GENERAL SERVICES  Private Employment Agency,True,MR GABRIEL MASCARDO,False,Forever Banned,,True,,True
"U1,4 &5 2F PWU INTL HSE, 1724 L EON GUINTO ST COR MALATE, MANILA",False,ablemaritimeinc.com,False,10/7/2016 to 10/6/2020,"ABLE MARITIME SEAFARERS, INC. Manning Agency",False,LEONARDO P ORTEGA,False,Valid License,3105620,False,www.ablemaritimeinc.com,False
"G/F BARKO BLDG 1014 P OCAMPO SR COR ARELLANO STS MALATE, MANILA",False,,True,11/18/2008 to 5/17/2009,ABLEWILL CORP Private Employment Agency,True,TEODORO B. QUIJANO,False,Delisted,5284231/ 5250310,False,,True
"2F HARBOR CTR 11 BLDG RAILROAD & DELGADO STS SOUTH PORT AREA, MANILA",False,,True,8/13/2004 to 8/12/2007,ABOITIZ JEBSEN BULK TRANSPORT CORPORATION Philippine Registered Vessel,True,MA THERESA D GUTAY,False,Expired,5279980 TO 88,False,,True
"PIER 4 NORTH HARBOR PO BOX 2709 PORT AREA, MANILA",False,,True,9/10/1986 to 9/10/1987,ABOITIZ SHIPPING CORPORATION  Manning Agency,True,MR JESUS P CARDENAS,False,Inactive,216159 / 216981,False,,True
"2/F, HARBOR CENTER II BLDG, RAILROAD AND DELGADO S PORT AREA, MANILA",False,ajman.operations@abojeb.com.ph,False,1/5/2015 to 1/4/2019,ABOJEB MANPOWER SOLUTIONS INC. (FORMERLY: ABOITIZ JEBSEN MANPOWER SOLUTIONS Private Employment Agency,False,RAMON GUZMAN VILLORDON JR,False,Valid License,5279980 (TRUNK LINE)/ 315-9502,False,www.abojeb.com,False
"8F JEMARSON PLACE BLG 1626 PILAR HIDALGO LIM ST MALATE, MANILA",False,abosta@abosta.com.ph,False,11/27/2016 to 11/26/2020,ABOSTA SHIPMANAGEMENT CORP Manning Agency,False,GAUDENCIO C MORALES,False,Valid License,5369463/5362107/ 5362108/4005985/4005984/5369401,False,,True
"UNITS 301 & 306, VAREB MANSION, 1679 A. MABINI ST MALATE, MANILA",False,office@amg.com.ph,False,8/26/2015 to 8/25/2019,ABRAHAM MANPOWER GLOBAL INC (FORMERLY TRENDZ INTL MANPOWER SERVICES INC) Private Employment Agency,False,ELIZABETH R GONZALES-CHOW,False,Valid License,(632) 5599730 / 09186644099,False,www.amg.com.ph,False
BACAL BLDG VAMENTA BLVD CARMEN CAGAYAN DE ORO CITY,False,,True,11/27/1997 to 11/27/1999,ABS DE ORO MANPOWER SERVICES AND TRADING INC Private Employment Agency,True,ATTY HENRY J BACAL,False,Delisted,728620,False,,True
"BF COND ADUANA CORNER SOLANA INTRAMUROS, MANILA",False,,True,to 9/18/1984,AC AGUIRRE MANAGEMENT CORPORATION  Private Employment Agency,True,MR ALBERT AGUIRRE,False,Inactive,474873 / 404431,False,,True
"2/F, THRIFTY BUILDING, #1923 SAN MARCELINO STREET MALATE, MANILA",False,accelmanpower@yahoo.com.ph,False,6/28/2010 to 6/27/2014,ACCEL INTERNATIONAL MANPOWER CORPORATION(FORMER CHAMPION INTEGRATED LABOR ) Private Employment Agency,True,,True,Delisted,3538382/3538376/ 3538150/0917-5259825,False,,True
"U103 10/F LEGASPI SUITE 178 SALCEDO STREET LEGASPI VILLAGE, MAKATI",False,aaccessafrica@gmail.com,False,4/24/2013 to 4/23/2017,ACCESS AFRICA HUMAN RESOURCES CORPORATION Private Employment Agency,True,MARIA SOCORRO R CAMONAY,False,Denied Renewal,750-0915,False,www.accessafrica.workabroad.ph,False
"4FLR TOPAZ BLDG 99-101 KAMIAS RD QUEZON CITY KAMIAS, QUEZON CITY",False,LOT@ACCESSINTL.US,False,7/31/2007 to 7/31/2008,ACCESS INTERNATIONAL MANPOWER AND OFFSHORE PLACEMENT INC Private Employment Agency,True,MARIA SOCORRO B DE LEON,False,Cancelled,4420203,False,,True
"S-A 4F& S-A,5F ROSE INDUSTRIES BLG,11 PIONEER ST KAPITOLYO, PASIG CITY",False,accessglobal.services@yahoo.com,False,4/26/2013 to 4/26/2017,ACCESSGLOBAL INTERNATIONAL MANPOWER SERVICES INC Private Employment Agency,True,CARMELITA M MEREZ,False,Cancelled,9494612/ 6967126,False,,True
"3/F PADILLA SQUARE BLDG, P FAURA COR MA OROSA ST ERMITA, MANILA",False,acclaimedone@yahoo.com,False,7/2/2009 to 7/2/2013,ACCLAIMED ONE MANPOWER AND RECRUITMENT SERVICES Private Employment Agency,True,MARIFE D. DIZON,False,Cancelled,3929905/5225739,False,,True
***2038 FB HARRISON ST PASAY CITY,False,,True,9/13/1991 to 9/13/1993,ACCOLADE MARITIME AGENCY INC  Manning Agency,True,MR LEONILO E ATOK,False,Delisted,8334706,False,,True
"2F, 3F & 4F, 403 P TUAZON ST PROJECT 4, QUEZON CITY",False,aceglobe@yahoo.com,False,7/20/2014 to 7/19/2018,ACE GLOBE MGT & CONSULTANCY SERVICES CORP(AAG MGT & CONSULTANCY SVS) Private Employment Agency,False,CORAZON D SAKUMURA,False,Valid License,9137697 / 9134284 / 09297715542 / 09173528514,False,,True
"1721 AGONCILLO STREET MALATE, MANILA",False,,True,5/16/1986 to 5/16/1988,ACE MANPOWER SERVICES INC  Service Contractor,True,MS ISABEL L MARTINEZ,False,Delisted,,True,,True
GF 117 GIL PUYAT AVE COR FB HARRISON ST PASAY CITY,False,,True,5/9/1990 to 5/4/1992,ACE MARITIME AGENCIES INC  Manning Agency,True,MR OSMUNDO SERRANILLA,False,Delisted,584498 / 505357,False,,True
"6F KINGS COURT BLDG. I, PASONG TAMO ST MAKATI",False,acenav@i-next.net,False,6/27/2012 to 6/26/2016,ACE NAVIGATION COMPANY INC Manning Agency,True,RICHELLE P BEGUIRAS,False,Delisted,8112251 TO 54/8112267 TO 70,False,,True
"CARRENZEL MANS.,1538-D SN GRE GORIO&FIGUEROA PACO",False,,True,2/23/2000 to 2/23/2002,ACER INTERNATIONAL MANPOWER COMPANY  Private Employment Agency,True,DORES CHAN,False,Revoked,5641449 / 5641447,False,,True
"UNIT E 6F STRATA 100 F ORTIGAS JR RD ORTIGAS, PASIG CITY",False,acerjem@pldtdsl.net,False,2/14/2011 to 2/13/2015,ACERJEM MANPOWER AGENCY Private Employment Agency,True,EDUARDO EMOR ONG JR,False,Cancelled,7060581/83,False,,True
101E AGUINALDO AVE PHI AFROVAI FT BONIFACIO TAGUIG,False,aces_v@yahoo.com/acesvapply@yahoo.com,False,5/4/2007 to 11/4/2007,ACES V MANPOWER CORP Private Employment Agency,True,ESTRELLITA M. VALERA,False,Delisted,8893212 (telefax),False,www.acesv.com,False
"G/F UNIT C, 2/F UNITS B&C NO.21 STA TERESITA ST KAPITOLYO, PASIG CITY",False,acfasmkt@pacific.net.ph,False,5/7/2002 to 5/7/2004,ACFAS MANPOWER RESOURCES INTERNATIONAL Private Employment Agency,True,RAYMUNDO G SAMPAYAN,False,Delisted,6314771/ 6364736,False,,True
"2F & 3F, 302 J.P. RIZAL ST., PROJECT 4 QUEZON CITY",False,achieve.universal@gmail.com,False,3/8/2016 to 3/8/2020,ACHIEVE UNIVERSAL INTERNATIONAL RECRUITMENT SERVICES INC Private Employment Agency,False,MA LOURDES N MERIA,False,Valid License,09189409318,False,,True
