Address,Email Address,License Validity,Name,Official Representative,Status,Tel No/s,Website
"RMS 401,405,406&407, JR BLDG, 1520 QUEZON AVENUE SOUTH TRIANGLE, QUEZON CITY",recruitment@21stcmri.com,3/8/2016 to 3/7/2020,21ST CENTURY MANPOWER RESOURCES INC (FOR. NURSING INT`L.) Service Contractor,RUSSELL C GARCIA,Valid License,4121311/4144399/4101234,www.21stcmri.com
STALL 15 4F WELLCOME PLAZA 2410-2432 TAFT LIBERTAD PASAY CITY,crewing@2Qmaritime.com,7/21/2016 to 7/21/2020,2QUEENS MARITIME SERVICES INC Manning Agency,JAIME MARTIN U PABALAN JR,Valid License,8347191/ 09778831222,N/A
"1361-C ABAD SANTOS BLG. ROMUALDEZ ST. PACO, MANILA",twotginternational@gmail.com,12/24/2015 to 12/23/2019,2TG MANPOWER INTERNATIONAL Private Employment Agency,ANACLETO A GUEVARA,Valid License,353-41-66,None
"R201 LEE BUSINESS COR J LUNA COR JUAN DELA CRUZ ST DAVAO CITY, DAVAO DEL SUR",3JSGLOBALAGENCY@GMAIL.COM,1/12/2006 to 1/12/2010,3 JS GLOBAL RECRUITMENT AGENCY INC Private Employment Agency,CORAZON E. ABARQUEZ,Cancelled,(6382) 2286103/(632) 8329294/(632) 8312235,NA
301 COLUMBIAN BLDG WEST AVE COR EDSA QUEZON CITY ,,3/24/1986 to 3/24/1988,3 PLEX INTERNATIONAL INC  Service Contractor,MR EDUARDO E SANTOS,Delisted,980823 / 9223741,
193 N S AMORANTO SR AVE QUEZON CITY,ims_3r@yahoo.com,to 1/1/1901,3 R`S OVERSEAS PLACEMENT CORPORATION Authority to negotiate,MS ROSARIO R REYES,Cancelled,608132 / 623598,None
"50 K8 ST EAST KAMIAS CUBAO, QUEZON CITY",NA,9/26/2005 to 3/26/2006,3D MANPOWER & PLACEMENT SERVICES CORP. Private Employment Agency,ADARLO P. FALOGME,Cancelled,920-3043,NA
"UNIT 870 LIVINGSTONE BLG.J.NAKPIL ST. MALATE, MANILA",ims_3r@yahoo.com,2/3/2010 to 2/2/2014,3R INTERNATIONAL MANPOWER SERVICES Private Employment Agency,THELMA C. ADUNA,Cancelled,310-5049,www.3r-ims.com.ph
"RM 407 DNA FELISA SYJUCO BLG #1872 REMEDIOS ST MALATE, MANILA",,12/21/2001 to 12/21/2003,4M SJHALL AND ASSOCIATES MANPOWER INC Private Employment Agency,ALITA C BALANE,Denied Renewal,5241261 LOC 117/117,None
"#59, 12TH AVE COR MAIN AVE, MURPHY CUBAO, QUEZON CITY",solmay_72@yahoo.com,10/4/2014 to 10/3/2018,5 STAR RECRUITMENT & MANPOWER CORPORATION Private Employment Agency,REYNALDO C. MADAMBA,Valid License,236-1082/ 09275534499,None
"SUITE 1404 ERMITA CENTER BUILDING 1350 ROXAS BLVD ERMITA, MANILA",phrsi525@yahoo.com,3/1/2017 to 3/1/2019,525 PRIMERA HUMAN RESOURCES SERVICES INC Private Employment Agency,TRINA T DIZON,Valid License,2471221,None
"RM 202 KIMVI BLG 1191 MA OROSA ST ERMITA, MANILA",NA,9/26/2007 to 9/25/2011,5A S INTERNATIONAL AGENCY CORPORATION Private Employment Agency,GILBERTO G. MANZO,Cancelled,536-2124,NA
"RMS 1081C&E AND 375-ABC RAMAGI BLDG 1081 P GIL ST PACO, MANILA",jobs@7blessingsdevelopment.net,7/21/2006 to 7/21/2010,7 BLESSINGS DEVELOPMENT AND PLACEMENT CENTER Private Employment Agency,JOSE L. FERNANDEZ,Cancelled,498-0430,WWW.7BLESSINGSDEVELOPMENT.NET
3/F ATLAS SHIPERS BLG BF HMS MARTINVILLE MANUYO II LAS PIÃ‘AS,jobsat7107@yahoo.com,12/10/2014 to 12/9/2018,7107 ISLANDS PLACEMENT & PROMOTIONS INC Private Employment Agency,JOEL P. LONGARES,Valid License,(02) 4628500 / 5532597 / 09175383014,www.my7107.com
"1331M H DEL PILAR ST ERMITA MANILA ERMITA, MANILA",info@818imc.com,8/2/2016 to 8/1/2020,818 INTERNATIONAL MANPOWER CORPORATION (FORMERLY MBJ PROSTAFF MANAGEMENT CO Private Employment Agency,WILLIAM L. CHUA,Valid License,02-313-9596/ 09089387444/ 09156239220,www.818imc.com
"UNIT 1193, LYRA BUILDING, 1191 QUEZON AVENUE QUEZON CITY",jocson@88acesmaritime.com,12/9/2017 to 12/8/2021,88 ACES MARITIME SERVICES INC Manning Agency,MA JANET A JOCSON,Valid License,4113778/3762389/0915-1879460,www.88acesmaritime.com.ph
U D&E 2/F PERMARC BLDG DR A SANTOS AVE PARAÃ‘AQUE,,12/15/2003 to 12/14/2007,88 INTERNATIONAL MANPOWER SERVICES INC Private Employment Agency,LETICIA SARAGA,Cancelled,8293772,None
2086 CAROLINA ST MALATE MANILA MANILA,None,4/22/1994 to 4/21/1996,888 INTERNATIONAL MANPOWER CORP Service Contractor,MS JENNIFER ENANO,Delisted,409687,None
"2F 7219 SAN MATEO ST. BGY OLYMPIA MAKATI, MAKATI",99nnmsmadani@gmail.com,5/22/2015 to 5/21/2019,99 (NINETY NINE) MANPOWER SERVICES CORP. Private Employment Agency,YASMIN Z MADANI,Valid License,8967330 /728-8711/ 8955480,None
"UNIT M7 VICTORIA DE MANILA P GIL TAFT AVENUE MALATE, MANILA",9k@9kmanpower.com/info@9kmanpower.com,1/4/2017 to 1/3/2021,9K INTERNATIONAL MANPOWER AND RECRUITMENT SERVICES CORP Private Employment Agency,MAILANE F KINDICA,Valid License,5165504 / 09208434399,www.9kmanpower.com
345-F J.TEODORO COR 10TH AVE GRACE PARK CALOOCAN CITY,,to 9/13/1987,A & A ENGINEERING Construction Contractor,MR ANTONIO M ALLAMEN,Cancelled,,
4/F UNITED LIFE BLDG PASAY ROAD MAKATI,,to 9/2/1987,A & A INTERNATIONAL RECRUITMENT & PLACEMENT Private Employment Agency,MR ROLANDO P MALIG,Delisted,870902 / 8162718,
"RM 303 3F SAN LUIS TERRACES 638 T M KALAW ST ERMITA, MANILA",info@anc-ph.com or anc@anc-ph.com,3/5/2017 to 3/4/2021,A & C INTERNATIONAL RESOURCES INC Private Employment Agency,PAUL Y. CHUA,Valid License,5214992 / 5168993,www.anc-ph.com
29 DATA ST BGY DON MANUEL QUEZON CITY ,,8/25/1995 to 2/25/1996,"A & C UNIVERSAL ENTERPRISES, INC.  Private Employment Agency",MR ABELARDO P PANLAQUI,Delisted,7322154,
2F & 3F 590-592 QUIRINO AVE TAMBO PARAÃ‘AQUE,,9/25/2001 to 9/24/2003,A & E NEPOMUCENO PROMOTIONS Private Employment Agency,ANGELO R NEPOMUCENO,Denied Renewal,8532029 / 8532090,None
RM.302 3RD FLR 1928 LEON GUINTO MALATE MANILA ,,8/24/1995 to 8/24/1997,A & G HEALTH RECRUITMENT AGENCY CO.  Private Employment Agency,MR RENE F GAVIOLA,Delisted,507141,
"524 A.FLORES ST ERMITA, MANILA",,to 8/8/1984,A & L MANAGEMENT MANPOWER SERVICES  Private Employment Agency,MS FLORENTINA A LOZANO,Forever Banned,594462 / 502342,
U400&402 ELYSIUM BLDG 168 D TUAZON STA MESA HGTS QUEZON CITY,jobsoverseas3@yahoo.com,5/2/2014 to 5/2/2015,A & S MANPOWER RESOURCES INC Private Employment Agency,MA CONSUELO PLAN-STA CRUZ,Delisted,7432067/7432021,None
"2/F (LEFT & RIGHT WING), BELEN BLDG, 1787 A. MABIN MALATE, MANILA",a.w.intl.manpower@gmail.com,7/20/2015 to 7/20/2019,A & W INTERNATIONAL MANPOWER SERVICES SPECIALIST Private Employment Agency,WILLIAM M CASTRO,Valid License,3100726 / 09276696472/ 0920879797,None
458 BARRANCA DRIVE MANDALUYONG,,to,A CONSTEEL CONSTRUCTION COMPANY INC  Construction Contractor,MR RICARDO M ABAD,Inactive,797913,
SUITE 2028-2029 VV SOLIVEN BLDG EDSA SAN JUAN,,to 4/11/1988,A L DE CASTRO CONSTRUCTION  Construction Contractor,MR ARSENIO L DE CASTRO,Delisted,789960 / 789982,
"SPACE 25-26 MLA MIDTOWN ARCADE M.ADRIATICO ST ERMITA, MANILA",,7/7/1987 to 7/7/1989,A L INTERNATIONAL SERVICES INC  Private Employment Agency,MS AURORA O SANTOS,Forever Banned,587763 / 573911,
3751 BAUTISTA ST MAKATI,,to 2/14/1986,A L SARMIENTO CONSTRUCTION  Construction Contractor,MR AMALIO L SARMIENTO,Cancelled,8311902 / 8318277,
"NO.8 ALBA ST EAST TAPINAC OLONGAPO CITY, ZAMBALES",,10/12/1988 to 10/12/1994,A P BUENAVENTURA ENTERPRISES  Service Contractor,MR ARSENIO P BUENAVENTURA,Delisted,2223838,
"2ND FLOOR (RIGHT WING), 1170 ROXAS BLVD COR ARQUIZ ERMITA, MANILA",asysteminternational@yahoo.com,2/1/2016 to 1/31/2020,A SYSTEM INTERNATIONAL CORPORATION Private Employment Agency,ROSEMARIE P. CRISTOBAL,Valid License,254-1550/310-8081,None
"6/F, METRO LIFESTYLE COMPLEX F TORRES ST. COR. JAC DAVAO CITY, DAVAO DEL SUR",akananmanpower.corp@yahoo.com/jamalkanan09@y.c,4/16/2016 to 4/15/2020,A. KANAN MANPOWER CORPORATION (FORMERLY BADILLA CORPORATION) Private Employment Agency,RUBY B UY,Valid License,(082) 300-8391/ 3105214/ 09199963187/ 09178849996,www.akananmanpower.com
"S-9,10,11,16,18,31A (GF) & S11(2F), MIDLAND PLAZA  ERMITA, MANILA",abutalent_management@yahoo.com.ph,3/3/2012 to 3/2/2016,"A.B.U. TALENT MANAGEMENT, INC. Private Employment Agency",GUILLERMO D CANLAS,Cancelled,524-6537/401-7173,NA
"DOOR 1 #1040 TERESA ST., BGY.VALENZUELA MAKATI",,3/2/2000 to 3/2/2002,A.D. LANTICAN INTERNATIONAL MANPOWER SERVICES Private Employment Agency,ANICIA D LANTICAN,Delisted,8901587,None
"U306,3F,MAIN BLG.,RELIANCE I.T CTR.99 E. RODRIGUEZ UGONG, PASIG CITY",admrecruitment2004@gmail.com,6/3/2016 to 6/2/2020,A.D.M. INTERNATIONAL MANPOWER SERVICES COMPANY Private Employment Agency,ANALITA S. DEL MUNDO,Valid License,672-3896/ 6723897/ 7759067,www.adm-intlmanpower.com
"#2882 FINLANDIA COR NEWTON BRGY SAN ISIDRO, MAKATI",ar_manpower@yahoo.com,7/2/2001 to 6/29/2003,A.R. MANPOWER INTERNATIONAL COMPANY Private Employment Agency,PETRONILA SUCALDITO,Cancelled,8870695,None
"UNIT 112 BALAGTAS VILLAS, BALAGTAS ST PASAY CITY",ashmanpower1@gmail.com,10/2/2015 to 10/1/2019,A.S.H. MANPOWER INTERNATIONAL SERVICES INC Private Employment Agency,RAMON B MACARAIG,Valid License,522-4470/ 09951805682,ashmanpower.wix.com/home
"RM 308 JOVAN COND, SAMAT COR. SHAW BLVD MANDALUYONG",None,5/10/2004 to 5/9/2008,A.V.V. SPEED MARITIME MANAGEMENT CO. LTD. (FOR. AMMCO) Manning Agency,VICENTA B. VILLAVER,Cancelled,5332661,None
RM.601-A CULMAT BLDG 127 E.RODRIGUEZ SR AVE QUEZON CITY,,to 12/17/1985,A/J MANPOWER SERVICES  Private Employment Agency,MS AMELIA G TSOU,Forever Banned,7214317,
9598 KAMAGONG ST MAKATI,,4/6/1990 to 4/4/1992,AA INTERNATIONAL BUSINESS VENTURE INC  Service Contractor,MR ATILLA ARKIN,Delisted,886870 / 8163199,
"3F TESORO REALTY BLDG 1339 SAL SIPUEDES ST. ERMITA, MANILA",None,6/17/2000 to 6/17/2000,"AAA INTERNATIONAL PLACEMENT, INC. Service Contractor",ANTONIO SC AREVALO,Denied Renewal,5210069 / 5211247/ 5264884,None
"RMS. 203 & 204, CITYLAND DELA ROSE COND, 7648 DELA PIO DEL PILAR, MAKATI",info@aaremaphil.com,6/21/2016 to 6/20/2020,AAREMA SHIPPING & TRADING COMPANY INC Manning Agency,MR REGULUS M ANCHETA,Valid License,8182194 / 8184079,None
"ROOMS 201 & 202, JALANDONI BLDG, 1444 R. SALAS COR ERMITA, MANILA",xjv_1996@yahoo.com,3/15/2016 to 3/14/2020,AAV TALENT TRAINING & MANAGEMENT INC. (FOR AAV TALENT TRNG & MGT ENT) Private Employment Agency,ALEXANDER VALENZUELA,Valid License,0946-9317687 (MOBILE),None
"MABUHAY BLDG NO 6 GOMEZ EXTENSION BRGY 3 LUCENA CITY, QUEZON",,6/5/2002 to 6/4/2004,AB ADELANTE MANPOWER RESOURCES INC Private Employment Agency,MARY JANE SEMILLA,Cancelled,,None
"RM 501 AP BLDG 1563 F AGONCIL LO COR P GIL ERMITA, MANILA",abintl52@gmail.com/ abintl@abmanpower.com,4/5/2016 to 4/4/2020,AB INTERNATIONAL PLACEMENT INC (FORMERLY AB INTERNATIONAL PLACEMENT) Service Contractor,YOLANDA R SALVADOR,Valid License,7758861/5236268/ 09183286179/ 09255252542,www.abmanpower.com
"3F ENRIQUETA BLDG, 1675-77 A. MABINI MALATE, MANILA",abacast@pldt.com,8/21/2016 to 8/20/2020,ABACAST SHIPPING & MANAGEMENT COMPANY INC Manning Agency,JOSEPH R CASTANEDA,Valid License,5240026 / 5240029,None
5F VALDERRAMA BLDG 107 ESTEBAN ST MAKATI,,5/16/1986 to 5/16/1988,ABACUS INTEGRATED SERVICES INC  Service Contractor,MS CONSUELO M VALDERRAMA,Delisted,858272 / 858248,
U-1102 11/F GOLDLOOP TOWERS ORTIGAS CTR. PASIG CITY,abbapersonnel@gmail.com/recruitment@abbaph.com,6/6/2016 to 6/5/2024,ABBA PERSONNEL SERVICES INC Private Employment Agency,NESTOR FLORES,Valid License,6335175/ 6371324,www.abba.ph
"UNIT 1801, OMM-CITRA BLDG, 39 SAN MIGUEL AVENUE, O PASIG CITY",info@abcgemsph.com,3/15/2015 to 3/14/2019,ABC GLOBAL EMPLOYMENT & MANPOWER SERVICES INC (FORMERLY SMITH BELL MANPOWER Private Employment Agency,SARA SD DUMANIL,Valid License,6367092/ 5719448/ 5718178,www.abcglobalemployment.com
528-534 GEN.MALVAR ERMITA MANILA MANILA,None,6/16/1994 to 6/16/1996,ABC HUMAN RESOURCES DEVELOPMENT INC (FOR ABC RECRUITMENT AGENCY Service Contractor,FAHAD M ALKHUZEEM,Delisted,5222307 / 5266385,None
"3F 1951 A LINAO ST MALATE, MANILA",None,6/19/2012 to 6/18/2016,ABC MANILA INTERNATIONAL INCORPORATED Private Employment Agency,SARCAWI HASANA P NASSER,Cancelled,493-8396,None
"U2A&2B,PREMIERE CENTRE,1425 NEWTON ST SAN ISIDRO, MAKATI",abcmanpower@mydestiny.net,9/8/2015 to 9/7/2019,ABC MANPOWER AGENCY INC (FORMERLY ABC MANPOWER AGENCY) Private Employment Agency,EMILY A. CARANDANG,Valid License,8448306/8442713/8449306,None
"57 12TH AVENUE, CUBAO QUEZON CITY",abcainternational@yahoo.com,9/7/2014 to 9/6/2018,ABCA INTERNATIONAL CORPORATION Private Employment Agency,EMILIA G. COSMO-AN,Valid License,912-1138/0908-7095391/ 0906-4531238 (mobile),None
"GROUND FLOOR & SECOND FLOOR, 2310 MARCONI CORNER M SAN ISIDRO, MAKATI",abdoverseasmanpower@gmail.com/candidates.abd@gmail,5/1/2016 to 4/30/2020,ABD OVERSEAS MANPOWER CORP (FORMERLY UNITED PLACEMENT INT`L) Private Employment Agency,MS ALICIA B DEVULGADO,Valid License,8434757/8876041/09189540700/09176204709,www.abdrecruitment.com
METRO MANILA  ,,to 9/16/1982,ABDEN CONSTRUCTION  Construction Contractor,,Cancelled,,
"2/F RAMONA BLDG 1805 SAN MARCELINO MALATE, MANILA",,to 8/28/1986,ABINEXTRA GENERAL SERVICES  Private Employment Agency,MR GABRIEL MASCARDO,Forever Banned,,
"U1,4 &5 2F PWU INTL HSE, 1724 L EON GUINTO ST COR MALATE, MANILA",ablemaritimeinc.com,10/7/2016 to 10/6/2020,"ABLE MARITIME SEAFARERS, INC. Manning Agency",LEONARDO P ORTEGA,Valid License,3105620,www.ablemaritimeinc.com
"G/F BARKO BLDG 1014 P OCAMPO SR COR ARELLANO STS MALATE, MANILA",NA,11/18/2008 to 5/17/2009,ABLEWILL CORP Private Employment Agency,TEODORO B. QUIJANO,Delisted,5284231/ 5250310,NA
"2F HARBOR CTR 11 BLDG RAILROAD & DELGADO STS SOUTH PORT AREA, MANILA",None,8/13/2004 to 8/12/2007,ABOITIZ JEBSEN BULK TRANSPORT CORPORATION Philippine Registered Vessel,MA THERESA D GUTAY,Expired,5279980 TO 88,None
"PIER 4 NORTH HARBOR PO BOX 2709 PORT AREA, MANILA",,9/10/1986 to 9/10/1987,ABOITIZ SHIPPING CORPORATION  Manning Agency,MR JESUS P CARDENAS,Inactive,216159 / 216981,
"2/F, HARBOR CENTER II BLDG, RAILROAD AND DELGADO S PORT AREA, MANILA",ajman.operations@abojeb.com.ph,1/5/2015 to 1/4/2019,ABOJEB MANPOWER SOLUTIONS INC. (FORMERLY: ABOITIZ JEBSEN MANPOWER SOLUTIONS Private Employment Agency,RAMON GUZMAN VILLORDON JR,Valid License,5279980 (TRUNK LINE)/ 315-9502,www.abojeb.com
"8F JEMARSON PLACE BLG 1626 PILAR HIDALGO LIM ST MALATE, MANILA",abosta@abosta.com.ph,11/27/2016 to 11/26/2020,ABOSTA SHIPMANAGEMENT CORP Manning Agency,GAUDENCIO C MORALES,Valid License,5369463/5362107/ 5362108/4005985/4005984/5369401,None
"UNITS 301 & 306, VAREB MANSION, 1679 A. MABINI ST MALATE, MANILA",office@amg.com.ph,8/26/2015 to 8/25/2019,ABRAHAM MANPOWER GLOBAL INC (FORMERLY TRENDZ INTL MANPOWER SERVICES INC) Private Employment Agency,ELIZABETH R GONZALES-CHOW,Valid License,(632) 5599730 / 09186644099,www.amg.com.ph
BACAL BLDG VAMENTA BLVD CARMEN CAGAYAN DE ORO CITY ,,11/27/1997 to 11/27/1999,ABS DE ORO MANPOWER SERVICES AND TRADING INC Private Employment Agency,ATTY HENRY J BACAL,Delisted,728620,
"BF COND ADUANA CORNER SOLANA INTRAMUROS, MANILA",,to 9/18/1984,AC AGUIRRE MANAGEMENT CORPORATION  Private Employment Agency,MR ALBERT AGUIRRE,Inactive,474873 / 404431,
"2/F, THRIFTY BUILDING, #1923 SAN MARCELINO STREET MALATE, MANILA",accelmanpower@yahoo.com.ph,6/28/2010 to 6/27/2014,ACCEL INTERNATIONAL MANPOWER CORPORATION(FORMER CHAMPION INTEGRATED LABOR ) Private Employment Agency,,Delisted,3538382/3538376/ 3538150/0917-5259825,None
"U103 10/F LEGASPI SUITE 178 SALCEDO STREET LEGASPI VILLAGE, MAKATI",aaccessafrica@gmail.com,4/24/2013 to 4/23/2017,ACCESS AFRICA HUMAN RESOURCES CORPORATION Private Employment Agency,MARIA SOCORRO R CAMONAY,Denied Renewal,750-0915,www.accessafrica.workabroad.ph
"4FLR TOPAZ BLDG 99-101 KAMIAS RD QUEZON CITY KAMIAS, QUEZON CITY",LOT@ACCESSINTL.US,7/31/2007 to 7/31/2008,ACCESS INTERNATIONAL MANPOWER AND OFFSHORE PLACEMENT INC Private Employment Agency,MARIA SOCORRO B DE LEON,Cancelled,4420203,NA
"S-A 4F& S-A,5F ROSE INDUSTRIES BLG,11 PIONEER ST KAPITOLYO, PASIG CITY",accessglobal.services@yahoo.com,4/26/2013 to 4/26/2017,ACCESSGLOBAL INTERNATIONAL MANPOWER SERVICES INC Private Employment Agency,CARMELITA M MEREZ,Cancelled,9494612/ 6967126,None
"3/F PADILLA SQUARE BLDG, P FAURA COR MA OROSA ST ERMITA, MANILA",acclaimedone@yahoo.com,7/2/2009 to 7/2/2013,ACCLAIMED ONE MANPOWER AND RECRUITMENT SERVICES Private Employment Agency,MARIFE D. DIZON,Cancelled,3929905/5225739,NA
***2038 FB HARRISON ST PASAY CITY ,,9/13/1991 to 9/13/1993,ACCOLADE MARITIME AGENCY INC  Manning Agency,MR LEONILO E ATOK,Delisted,8334706,
"2F, 3F & 4F, 403 P TUAZON ST PROJECT 4, QUEZON CITY",aceglobe@yahoo.com,7/20/2014 to 7/19/2018,ACE GLOBE MGT & CONSULTANCY SERVICES CORP(AAG MGT & CONSULTANCY SVS) Private Employment Agency,CORAZON D SAKUMURA,Valid License,9137697 / 9134284 / 09297715542 / 09173528514,N/A
"1721 AGONCILLO STREET MALATE, MANILA",,5/16/1986 to 5/16/1988,ACE MANPOWER SERVICES INC  Service Contractor,MS ISABEL L MARTINEZ,Delisted,,
GF 117 GIL PUYAT AVE COR FB HARRISON ST PASAY CITY,,5/9/1990 to 5/4/1992,ACE MARITIME AGENCIES INC  Manning Agency,MR OSMUNDO SERRANILLA,Delisted,584498 / 505357,
"6F KINGS COURT BLDG. I, PASONG TAMO ST MAKATI",acenav@i-next.net,6/27/2012 to 6/26/2016,ACE NAVIGATION COMPANY INC Manning Agency,RICHELLE P BEGUIRAS,Delisted,8112251 TO 54/8112267 TO 70,None
"CARRENZEL MANS.,1538-D SN GRE GORIO&FIGUEROA PACO ",,2/23/2000 to 2/23/2002,ACER INTERNATIONAL MANPOWER COMPANY  Private Employment Agency,DORES CHAN,Revoked,5641449 / 5641447,
"UNIT E 6F STRATA 100 F ORTIGAS JR RD ORTIGAS, PASIG CITY",acerjem@pldtdsl.net,2/14/2011 to 2/13/2015,ACERJEM MANPOWER AGENCY Private Employment Agency,EDUARDO EMOR ONG JR,Cancelled,7060581/83,NA
101E AGUINALDO AVE PHI AFROVAI FT BONIFACIO TAGUIG,aces_v@yahoo.com/acesvapply@yahoo.com,5/4/2007 to 11/4/2007,ACES V MANPOWER CORP Private Employment Agency,ESTRELLITA M. VALERA,Delisted,8893212 (telefax),www.acesv.com
"G/F UNIT C, 2/F UNITS B&C NO.21 STA TERESITA ST KAPITOLYO, PASIG CITY",acfasmkt@pacific.net.ph,5/7/2002 to 5/7/2004,ACFAS MANPOWER RESOURCES INTERNATIONAL Private Employment Agency,RAYMUNDO G SAMPAYAN,Delisted,6314771/ 6364736,None
"2F & 3F, 302 J.P. RIZAL ST., PROJECT 4 QUEZON CITY",achieve.universal@gmail.com,3/8/2016 to 3/8/2020,ACHIEVE UNIVERSAL INTERNATIONAL RECRUITMENT SERVICES INC Private Employment Agency,MA LOURDES N MERIA,Valid License,09189409318,None
"4F U-IV-B GMA LOUBEL PLZA 7514 BAGTIKAN & C. ROCES MAKATI, MAKATI",achieverslandbaseinc@yahoo.com,1/9/2008 to 1/9/2009,ACHIEVERS LANDBASE INC Private Employment Agency,PATRICIA S. IGLESIAS,Delisted,8979146/896-2905/897-9301,None
"U302-303 MARIUS ARCADIA BLDG L10A-2C RAYMUNDO AVE CANIOGAN, PASIG CITY",actsma_inc@yahoo.com,8/24/2011 to 8/24/2012,ACHIEVERS OF CAREER IN TECHNOLOGY AND SKILLS MANPOWER AGENCY (ACTSMA) INC Private Employment Agency,ARLENE C FLORES,Delisted,4774863,NA
"UNIT 22B, CHATHAM HOUSE COND, 116 VALERO ST COR RU SALCEDO VILLAGE, MAKATI",achieversman@gmail.com,5/13/2016 to 5/12/2020,ACHIEVERS OVERSEAS SHIP MANNING AGENCY INC (FORMERLY EASWAYS MARINE INC) Manning Agency,KATHYRIN FE D PIOQUINTO,Valid License,889-1005,N/A
697 PINA AVE STA MESA HEIGHTS QUEZON CITY,,to 9/17/1984,ACK CONSTRUCTION  Construction Contractor,MR ANTON C KHO,Inactive,611153 / 604893,
125 M.VELEZ COR E.OSMENA STS CEBU CITY ,,2/7/1996 to 2/8/1998,ACMDC VENTURES INCORPORATED  Construction Contractor,MR ANTONIO V CANETE,Delisted,,
2ND FLR AGORA COMM`L COMPLEX N DOMINGO SAN JUAN,,to,ACME DEVELOPMENT  Construction Contractor,MR ALEJANDRO L MEJIA,Inactive,,
FIRST MRTIME PLACE 7458-7460 BAGTICAN ST. MAKATI ,,2/27/2000 to 2/27/2002,ACOMARIT PHILIPPINES INC  Manning Agency,CARLOS SALINAS,Delisted,8981142 / 8981147,
#44 FR MARTINEZ ST COR SCT TUAZON BGY OBRERO QC ,,10/17/2002 to 10/16/2006,"ACROSS THE MILES MANPOWER RESOURCES, INC Service Contractor",MR. VINCENT B. BALDO,Delisted,9287209/ 9287234,None
"R303 305 3F KIMVI BLG 1191 MA OROSA ST ERMITA, MANILA",NA,7/22/2008 to 7/22/2012,ACROSS UNIVERSE INTERNATIONAL MANPOWER AGENCY Private Employment Agency,TEODORO A. MALLARI,Cancelled,3373739,NA
