Address,Address Missing,Email Address,Email Missing,License Validity,Name,Negative Status,Official Representative,Representative Missing,Status,Tel No/s,Telephone Missing,Website,Website Missing
G/F ANNEX FEMII BLDG ADUANA ST INTRAMUROS MANILA,False,,True,7/19/2002 to 7/18/2006,PROPHECY PLACEMENT & PROMOTIONS SERVICES INC Private Employment Agency,True,MERCEDES D MACAPAGAL,False,Delisted,5271145,False,,True
"RM.218 SINGSON BLDG PLAZA MORAGA BINONDO, MANILA",False,,True,1/1/1950 to 9/28/1985,MERCANTILE SHIPPING LINES INC  Philippine Registered Vessel,True,MR JESUS M LEGASPI,False,Forever Banned,,True,,True
B3P2 L2&L3 YOUNG ST MERITVILLE SUBD PULANGLUPA LAS PIÃ‘AS,False,natunascean@yahoo.com / natunascean2@yahoo.com,False,10/26/2015 to 10/25/2019,NATUNA SCEAN MANPOWER CORPORATION Manning Agency,False,ENGR CELIA L DALDE,False,Valid License,5258695 / 5250415,False,www.natunascean.com,False
"U204 (RW), 2/F, AUSSIE TOWERS,1418 M.H. DEL PILAR ERMITA, MANILA",False,fr_international2008@yahoo.com,False,6/17/2014 to 6/16/2018,F.R. INTERNATIONAL PLACEMENT AGENCY INC Service Contractor,False,NORMA B. USMAN,False,Valid License,2546311/241-2065/ 0917-6315354,False,FB Acct FR_international2008@yahoo.com,False
2272 PRES. QUIRINO AVE PACO MANILA,False,,True,7/8/2005 to 7/27/2006,UNITED SALVAGE & TOWAGE (PHILS) INC.  Philippine Registered Vessel,True,JOSE MARI MORAZA,False,Expired,5237667 / 599767,False,,True
25 ZAMBOANGA ST WEST AVE Q.C.,False,,True,to 11/26/1985,SAN ANTON OVERSEAS & PLACEMENT SERVICES  Private Employment Agency,True,DRA SOLEDAD CORONEL,False,Cancelled,973669,False,,True
206 D TUAZON ST QUEZON CITY,False,,True,to,ZAMBOANGA REALTY & DEVELOPMENT CORPORATION Construction Contractor,True,MR VENICIO A RAMOS,False,Inactive,,True,,True
"5F, PREMIERE CENTRE, 1425 NEWTON ST SAN ISIDRO, MAKATI",False,prmanpower.hk@gmail.com,False,10/20/2017 to 10/19/2021,P & R MANPOWER SERVICES INC Private Employment Agency,False,MA. BASILIA G. DELA ROSA,False,Valid License,8435918,False,,True
"UNIT F, 2117 VOLTA STREET SAN ISIDRO, MAKATI",False,oridi2009_optimum@yahoo.com,False,4/4/2011 to 4/4/2015,OPTIMUM RECRUITMENT AND INTERNATIONAL DEPLOYMENT INC Private Employment Agency,True,,True,Cancelled,5637063/0917-5694197/ 0918-3856936,False,www.optimumrecruitment.com.ph,False
"#59, 12TH AVE COR MAIN AVE, MURPHY CUBAO, QUEZON CITY",False,solmay_72@yahoo.com,False,10/4/2014 to 10/3/2018,5 STAR RECRUITMENT & MANPOWER CORPORATION Private Employment Agency,False,REYNALDO C. MADAMBA,False,Valid License,236-1082/ 09275534499,False,,True
124-126 SINCIEGO ST PASAY CITY,False,,True,12/11/1999 to 12/9/2001,MARINERS SERVICES CORPORATION Manning Agency,True,MS LUZ O AFABLE,False,Delisted,5216073 / 5369174,False,,True
"U1001-1004,ASEANA 2 BLG, BRADCO AVE, ASEANA CITY PARAÃ‘AQUE",False,info@cmanmaritime.com,False,7/7/2014 to 7/6/2018,C-MAN MARITIME INC Manning Agency,False,GREGORIO F. ORTEGA,False,Valid License,7796900/ 09998853071,False,www.cmanmaritime.com,False
"UNIT 1677-B, DIAN STREET SAN ISIDRO, MAKATI",False,personnel.innovative@gmail.com,False,6/26/2016 to 6/25/2020,INNOVATIVE MANPOWER SERVICES INC (ORMERLY INNOVATIVE MANPOWER SERVICES) Private Employment Agency,True,BENJAMIN M MONTENEGRO,False,Cancelled,8435803,False,www.innovativemanpower.com,False
157 ARMSTRONG AVE MOONWALK PARANAQUE CITY,False,,True,1/26/2011 to 1/25/2015,STAFFLINE INC  Service Contractor,True,MA CLOTILDE R TONG,False,Cancelled,8218646,False,,True
105 CABRERA BLDG I 130 TIMOG AVE QUEZON CITY,False,intex_msn@yahoo.com,False,8/29/2002 to 8/28/2006,INTERNATIONAL EXPERTISE PLACEMENT INC Private Employment Agency,True,ATTY MANUEL S MALAPIT,False,Delisted,4265300,False,,True
LACHICA BLDG 2421 GEN OSMALIK BALAGTAS PANDACAN MM,False,,True,to 3/23/1986,RM LACHICA ENTERPRISES (INTERNATIONAL)  Private Employment Agency,True,MS ROSALINDA M LACHICA,False,Forever Banned,585474 / 580045,False,,True
"A-E 17F & 18-D, R.MAGSAYSAY CTR. 1680 ROXAS BLVD. MALATE, MANILA",False,operations@mainemarine.com.ph,False,7/11/2016 to 7/10/2020,"MAINE MARINE PHILIPPINES, INC. Manning Agency",False,ARLYN FERNANDEZ,False,Valid License,5244973/ 5368454 TO 55,False,www.mainemarine.com.ph,False
"RMS 203 & 204 MERCHANTS CTR BLG, 509 P. FAURA ST ERMITA, MANILA",False,safefuturemain2009@hotmail.com,False,3/7/2016 to 3/6/2020,SAFE FUTURE MANPOWER AGENCY INC (FORMERLY ROSAS ENTERTAINMENT & PLACEMENT A Private Employment Agency,False,ALEGRIA D. SALVADOR,False,Valid License,310-9004,False,,True
UNIT 206-208 1986 TAFT OFFICE CTR COND TAFT AVENUE PASAY CITY,False,nimsinternational@yahoo.com,False,4/11/2012 to 4/11/2016,NAHED INTERNATIONAL MANPOWER SERVICES Private Employment Agency,True,MS MELBA B SCHWARTZ,False,Cancelled,5232168 (TELEFAX),False,,True
"Z1-217 PMG BLG FELICITAS VIL,PLARIDEL,LOOC MANDAUE CITY, CEBU",False,PMGoverseas@hotmail.com,False,6/5/2003 to 6/4/2007,PMG OVERSEAS MANPOWER SERVICES CO.  Private Employment Agency,True,MARIROSE GAMONIT,False,Delisted,(032) 3408979/ 3408940,False,,True
"3F GT TOWER 1291 BATANGAS ST COR URUGUAY ST BRGY SAN ISIDRO, MAKATI",False,pointmaninternational16@gmail.com,False,5/13/2015 to 5/13/2019,POINTMAN INTERNATIONAL SERVICES INC Private Employment Agency,False,FREDERICK S. PUMAREN,False,Valid License,(02) 8934983 / 8331605 / 09431333303,False,www.pointmanISI.com,False
"RMS309 & 314 L&S BLG 1414 ROXAS BLVD ERMITA, MANILA",False,ascend_intl.amor@yahoo.com,False,1/23/2016 to 1/22/2020,ASCEND INTERNATIONAL SERVICES INC Private Employment Agency,False,AMOR C DESEPEDA,False,Valid License,5232852/ 5233051/ 09087287997/ 09335230350,False,ascendmanila.com,False
76 C BENITEZ ST CUBAO QUEZON CITY,False,,True,to,DB TEODORO DEVELOPMENT CORPORATION  Construction Contractor,True,MR DONATO B TEODORO,False,Inactive,797956 / 702020,False,,True
"PSC BLDG 333 V RAMA AVENUE CEBU CITY CEBU CITY, CEBU",False,WWW.PRIMARY.COM.PH,False,3/31/2012 to 3/31/2014,PRIMARY STRUCTURES CORPORATION Construction Contractor,False,WILLIAM CHRISTOPHER LIU,False,Valid License,(63-32) 2538026/2541455/2531030/2536026,False,,True
"UNITS 102 & 103, 945 ESTRADA STREET MALATE, MANILA",False,info@sunmarino.com.ph,False,4/14/2010 to 4/14/2014,SUN MARINO SHIPPING INC Manning Agency,True,,True,Delisted,5166266/5168897,False,,True
"5151 B&D (3F-RW) FILMORE STREET PALANAN, MAKATI",False,nevikahri@yahoo.com.ph,False,10/17/2014 to 10/16/2018,"NEVIKA HUMAN RESOURCE INTERNATIONALE, INC. Private Employment Agency",False,BERGIDA G. NEVAL,False,Valid License,7283334/ 9541019/ 0916-7871194 (mobile),False,www.nevikahri.com.ph,False
SUITE 204 L & S BLDG 1414 ROXAS BLVD MANILA,False,,True,to 1/29/1984,SUMMA OVERSEAS PLACEMENT INC  Private Employment Agency,True,MR LUIS HIDALGO JR,False,Delisted,5218949 / 5218950,False,,True
"U-C,D,E,F&H(2F) AND U-F & G (3F), MIKI MARI BLG,ST LAS PIÃ‘AS",False,info@prudentialemployment.com,False,8/15/2014 to 8/14/2018,PRUDENTIAL EMPLOYMENT AGENCY INC Private Employment Agency,False,MARIA GINA G FUJIMOTO,False,Valid License,8711625/ 4032823/ 09178563871,False,WWW.PRUDENTIAL.COM,False
"RM412 DONA FELISA SYJUCO BLG 1872 REMEDIOS ST TAFT MALATE, MANILA",False,wsp.internationalmanpower@gmail.com,False,4/17/2017 to 4/17/2019,WSP INTERNATIONAL MANPOWER AGENCY CO Private Employment Agency,False,MARIA CECILIA F SOLIVIO,False,Valid License,(02) 3100541,False,,True
"UNIT 709 7/F PRESTIGE TOWER EMERALD AVE ORTIGAS, PASIG CITY",False,,True,9/23/2005 to 9/23/2005,KCI WORLDWIDE MANNING CORPORATION Manning Agency,True,ANGEL S RACOMA,False,Delisted,6387964/6371582 loc 24,False,,True
"R307, 3F, THE TRAVELLER'S LIFE BLG, 490 TM KALAW ERMITA, MANILA",False,amorpanganiban07@yahoo.com/rowinjana@yahoo.com,False,7/26/2017 to 7/25/2021,GLOBAL MARINE AND OFFSHORE RESOURCES INC (FOR SUNGLOW ORIENT ENT) Manning Agency,False,MARK RAYMOND Q. CARGO,False,Valid License,732-8200/ 536-7578,False,WWW.GLOBMARINEOFFSHORE.COM,False
"R501 & PENTHSE SOUTHGATE BDG FINANCE DR MUNTINLUPA AYALA ALABANG, MUNTINLUPA",False,DEJ@DELKYE.COM,False,2/26/2009 to 2/26/2010,DELKYE STAFFING SOLUTIONS CO Private Employment Agency,True,ARLENE CLEOFE FLORES,False,Delisted,8506166 TELEFAX,False,WWW.DELKYE.COM,False
"SPACE 25-26 MLA MIDTOWN ARCADE M.ADRIATICO ST ERMITA, MANILA",False,,True,7/7/1987 to 7/7/1989,A L INTERNATIONAL SERVICES INC  Private Employment Agency,True,MS AURORA O SANTOS,False,Forever Banned,587763 / 573911,False,,True
2056 M. DELA CRUZ ST PASAY CITY,False,,True,8/4/2000 to 8/3/2002,CHEL PROMOTION AGENCY  Private Employment Agency,True,CONCEPCION C SISON,False,Revoked,8124914 / 8431352,False,,True
"GF 2F R301 & 302, VGC BLDG., I #936 PEDRO GIL COR  MALATE, MANILA",False,dipc13@yahoo.com,False,2/2/2012 to 2/1/2016,DOLMA INTERNATIONAL PLACEMENT CORP. Service Contractor,True,TERESITA T CLAVERIA,False,Cancelled,4980890/4981228/ 0939-9452652,False,,True
"2593 A. BONIFACIO ST BANGKAL, MAKATI",False,mail@avantgarde.com.ph,False,1/15/2016 to 1/14/2020,AVANTGARDE SHIPPING CORP (AVANTGARDE ENTERPRISES INTERNATIONAL) Manning Agency,False,MIKE EDZEL G REBAMONTAN,False,Valid License,8893665/8893582/8893583/8893589,False,www.avantgarde.com.ph,False
"R301 3F SAN LUIS TERRACES TM KALAW ST. ERMITA, MANILA",False,LPEMPIRE@YAHOO.COM,False,1/22/2010 to 7/21/2010,LP EMPIRE RECRUITMENT & EMPLOYMENT SERVICES INC Private Employment Agency,True,LUCY T. PAJO,False,Cancelled,494-4296/494-4295,False,,True
2047 ROXAS BLVD EXEC SUITES 1212 ROXAS BLVD MLA,False,,True,to 10/30/1987,HORST SELIG INTERNATIONAL TRADING & PLACEMENT COMPANY LTD Authority to negotiate,True,MR HORST SELIG,False,Expired,582420,False,,True
"RM 212, MERCHANTS BLDG, 509 P. FAURA ST ERMITA, MANILA",False,gandamanpower@yahoo.com,False,4/28/2012 to 4/27/2016,"G & A INTERNATIONAL MANPOWER SERVICES, INC. Private Employment Agency",True,,True,Delisted,7146949 / 09999990768,False,,True
4TH FLR L & F BLDG AGUIRRE ST LEGASPI VILL MAKATI,False,,True,7/20/1983 to 11/14/1994,CONSTELLATION MANPOWER RECRUITMENT INC  Private Employment Agency,True,GIOVANNI J. OLIVARES,False,Delisted,8170201,False,,True
"TRANSPACIFIC BLDG 2444-A TAFT AVE MALATE, MANILA",False,,True,7/15/1987 to 7/7/1988,TRANSPACIFIC TOWAGE INC  Philippine Registered Vessel,True,MR GERONIMO B BELLA,False,Delisted,573681 / 573682,False,,True
G/F & 2/F #171 APT NO 2 A MABINI ST KALOOKAN CITY CALOOCAN CITY,False,editha_lalu@yahoo.com,False,5/29/2015 to 5/28/2019,"DCH INTERNATIONAL MANPOWER SERVICES, INC Private Employment Agency",False,MS EDITA G LALU,False,Valid License,2885492 / 2859344(telefax),False,,True
"UNITS 701&702, 7/F, ALEXANDER HOUSE, CONDOMINIUM B LEGASPI VILLAGE, MAKATI",False,info@principalia.com/ admin@principalia.com,False,4/2/2016 to 4/1/2020,"PRINCIPALIA MANAGEMENT & PERSONNEL CONSULTANTS, INC. Private Employment Agency",False,LUCAS FELIX M. BRITANICO,False,Valid License,815-1077,False,www.principalia.com,False
GF TDC-NYK HARBOUR CTR I RAIL ROAD ST PORT AREA,False,,True,6/18/1996 to 6/17/1998,PHILIPPINE MANPOWER DEVELOPMENT SERVICES CORPORATION (MANSERV) Private Employment Agency,True,MR CESAR P CARANDANG,False,Delisted,5281056 / 5280060,False,,True
"M101& PORTIONS GF,2F&3F, EASTGATE CTR,169 EDSA MANDALUYONG",False,emc@eastgategroup.com.ph,False,3/3/2017 to 3/2/2021,"EASTGATE MARITIME CORP.(FORMERLY EASTGATE(INTL)MARITIME AGENCIES,INC Manning Agency",False,MR EMMANUEL L REGIO,False,Valid License,5336101 /,False,www.manningships.biz,False
"RM 315-A 3F FEMMI (ANNEX) BLDG INTRAMUROS, MANILA",False,,True,8/22/2002 to 8/22/2004,PALIMBO OVERSEAS SHIPPING AND TRADERS CORP Manning Agency,True,EDWIN L FRANCIA,False,Cancelled,3387047,False,,True
"2ND FLOOR, # 837 MARIA CLARA STREET MANDALUYONG",False,,True,3/8/2008 to 3/7/2012,OMS PHILS CORPORATION Service Contractor,True,MR ELMER LUMAPGUID,False,Delisted,5325035-37,False,,True
S-502 & 503 JALANDONI BDG 1444 A MABINI ST ERMITA,False,jireco@yahoo.com,False,8/29/2002 to 8/28/2006,JIRECO INTERNATIONAL MANPOWER (JIMCO) CORP.  Private Employment Agency,True,MS ESTRELLA M RESMA,False,Cancelled,5247278/ 5284368,False,,True
"NO. 18 12TH AVE MURPHY CUBAO, QUEZON CITY",False,CREWING@NOBELSHIP.COM/ADMIN@NOBELSHIP.COM,False,9/29/2001 to 9/28/2003,"NOBEL SHIP SERVICES, INC. Manning Agency",True,NINO B GUERRERO,False,Delisted,9115026 TO 29,False,HTTP,False
3794 CUENCA ST PALANAN MAKATI CITY,False,,True,3/20/1990 to 3/20/1994,"W & J PROMOTION & GENERAL SERVICES,INC.  Service Contractor",True,MS ELIZABETH W JAN,False,Delisted,5222024,False,,True
"GF & 2F, 1894 SINGALONG STREET MALATE, MANILA",False,samie_agency@yahoo.com,False,12/2/2014 to 12/1/2018,SAMIE INTERNATIONAL RECRUITMENT AND GENERAL SERVICE LTD. CO. Service Contractor,False,EDNA P MARGALLO,False,Valid License,2564909/ 4230509/ 09399216695,False,,True
"DOOR F FMSG BLG 1823 E RODRIGUEZ SR AVE, QUEZON CITY",False,UNILINKPLACEMENT@HOTMAIL.COM,False,6/26/2006 to 6/26/2007,UNILINK PLACEMENT SERVICES INC. Private Employment Agency,True,OLYMPIA P. VILLARUEL,False,Delisted,7222-804,False,,True
KM 15 SOUTH SUPERHIGHWAY PARANAQUE M.M.,False,,True,to 3/8/1984,PACIFIC EQUIPMENT CORPORATION  Construction Contractor,True,MR ALFONSO CASIMIRO,False,Inactive,,True,,True
"RM.C 3/F ASTORIA BLDG.,1170 A. MABINI ST. ERMITA, MANILA",False,,True,2/6/2001 to 2/6/2003,GOLDEN WAYS MANAGEMENT INTERNATIONAL INC(FOR SIGMA PERSONNEL SVCS INC) Private Employment Agency,True,DANILO N DASIGAN,False,Delisted,5309889/ 3021731/3022047,False,,True
G/F 605 PINAGPALA BLG LIMBAS ST GATCHALIAN,False,,True,1/9/1991 to 1/9/1993,HARMONY FOUR SHIPPING AGENCY CO INC  Manning Agency,True,MR VIRGILIO D PARAGAS,False,Delisted,,True,,True
"RMS 502,503 & 407 LBH BLG, 1431 A. MABINI ST ERMITA, MANILA",False,,True,1/18/2008 to 1/18/2012,LANDMARK MANPOWER INTERNATIONAL AGENCY Private Employment Agency,True,ROSALINDA A. MANIEGO,False,Cancelled,6662799,False,,True
"RM 511 5F FELISA SYJUCO BLDG 1872 REMEDIOS TAFT MALATE, MANILA",False,maria@ontimestaffingsolutions.com,False,12/1/2016 to 12/1/2018,ONTIME STAFFING SOLUTIONS INC Private Employment Agency,False,MARIA ROWENA A JAVIER,False,Valid License,2520000 / 09955056211,False,www.ontimestaffingsolutions.com,False
19/F PACIFIC STAR BLDG MAKATI AVE COR BUENDIA MKTI,False,,True,12/6/1994 to 6/6/1995,WESTWIND OVERSEAS RESOURCES CORPORATION  Private Employment Agency,True,ATTY MARIO M USON,False,Delisted,8176021 / 8176030,False,,True
2F & 3F 1511 GALVANI ST. SN ISIDRO MAKATI CITY,False,,True,8/10/2002 to 8/9/2006,JNP PROMOTIONS INTERNATIONAL SERVICES INC. Private Employment Agency,True,MS DEBORRAH A DEQUITO,False,Delisted,8891072,False,,True
1445 SAN MARCELINO ST ERMITA METRO MANILA,False,,True,to 5/6/1984,NAUTICA SHIPPING AGENCY & MANAGEMENT COMPANY INC Manning Agency,True,MS ESTRELLA PEREZ,False,Cancelled,506601 / 506602,False,,True
"3RD FLOOR, AMV BLDG, 1748 EVANGELISTA ST BANGKAL, MAKATI",False,info@midsouthphil.com/nestorilano@yahoo.com.ph,False,10/12/2010 to 10/11/2014,MID-SOUTH SHIP AND CREW MANAGEMENT INC. Manning Agency,True,NESTOR S. ILANO,False,Cancelled,3582228/3690507,False,www.midsouthphil.com,False
